Texto,Subcategoria
El Govern no descarta decretar un aumento de los servicios mínimos ante la huelga en caso de necesidad,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial."
El Govern no descarta decretar un augment dels serveis mínims amb motiu de la vaga en cas de necessitat,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial."
El Govern remarca que con los indultos se abre una nueva etapa de diálogo,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial."
El Gover remarca que amb els indults s'obre una nova etapa de diàleg,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial."
Pere Aragonès no está presente en la recepción al rey en el Mobile World Congress de Barcelon,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial."
Pere Aragonès no està present a la recepció del rei al Mobile World Congress de Barcelona,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial."
¿Lo imposible o lo viable? La reconversión independentista,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
Allò impossible o allò viable? la reconversió independentista,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
Feijóo sobre el pacto de inmigración: Es la cesión más grave,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
Feijóo sobre el pacte d'inmigració: és la cessió més greu,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
Òmnium Cultural reparte trípticos sobre el proceso independentista en el Mobile World Congress,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
Omnium Cultural reparteix tríptics sobre el procés independentista al Mobile World Congress,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
"Unió Europea, cap on vas?","Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
"Unión Europea, ¿dónde vas?","Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
El PSC promoverá una resolución de apoyo al congreso y carga contra Colau,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
El PSC promourà una ressolució de suport al congrés i carrega contra Colau,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
José Manuel Soria espera que el PSOE opte por una coalición con el PP y no haya elecciones,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
José Manuel Soria espera que el PSOE opti per una coalició amb el PP i no hi hagi eleccions,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …"
Aragonès y Colau eluden recibir al Rey antes de la cena del MWC,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local.."
Aragonès i Colau eviten rebre al Rei abans del sopar del MWC,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local.."
Carmena deja sola a Cifuentes en su idea de arrebatar el MWC a Barcelona,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local.."
Carmena deixa sola a Cifuentes en la seva idea d'arrabassar el MWC a Barcelona,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local.."
Pancartas en favor de los presos del 1-O en un acto del presidente del TC en Madrid y la ministra Delgado,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local.."
Pancartes en favor dels presos del 1-O en un acte del president del TC a Madridy la ministra Delgado,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local.."
El conflicto entre EE.UU. y China por Huawei y el 5G es el primer episodio de una pugna que puede durar años,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos...."
El conflicte entre els EUA i Xina per Huawei i el 5G és el primer episodi d'una pugna que pot durar anys,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos...."
España retrocede dos puestos en el ranking de innovación de la UE,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos...."
Espanya retrocedeix dues posicions en el rànking d'innovació de la UE,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos...."
El Mobile engega amb un missatge de suport a Ucraïna,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos...."
El Mobile arranca con un mensaje de apoyo a Ucrania,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos...."
Collboni evita condemnar la participació d'Israel al Mobile,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos...."
Collboni evita condenar la participación de Israel en la Mobile,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos...."
Collboni cree que la querella contra Colau por las subvenciones quedará en nada,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política
Collboni creu que la querella contra Colau per les subvencions quedarà en no res,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política
"Junqueras libre, ¿Puigdemont vuelve?",Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política
"Junqueras lluire, Puigdemont torna?",Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política
Soria tras la detención de Alfonso Grau: Cada cual debe responder ante la Justicia,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política
Soria desprès de la detenció d'Alfons Grau: Cadascú deu respondre davant de la Justícia,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política
Apostemos por la tecnología como motor económico,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica
Apostem per la tecnologia com a motor econòmic,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica
Trias proposa un salari mínim per als treballadors de Barcelona,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica
Trias propone un salario mínimo para los trabajadores de Barcelona,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica
William Tian: Estamos comprometidos con el empleo en Europa,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica
William Tian: Estem compromesos amb l'ocupació a Europa,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica
Carta de un trabajador del Metro: Negociar no significa rendirse,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
Carta d'un treballador del Metro: Negociar no significa rendir-se,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
El rebut del telèfon s'encareix a canvi de més dades,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
El recibo del teléfono se encarece a cambio de más datos,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
La IA pot destruir 400.000 llocs de treball a Espanya la pròxima dècada,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
La IA puede destruir 400.000 puestos de trabajo en España en la próxima década,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
No serem ingenus: Cuerpo garanteix protecció a la indústria davant de possibles aranzels,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
No seremos ingenuos: Cuerpo garantiza la protección a la industria ante posibles aranceles,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
Cuerpo asegura que Europa reaccionará si hay aranceles: Protegeremos a la industria,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
Cuerpo assegura que Europa reaccionarà si hi ha aranzels: Protegirem la indústria,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
"España, el segundo país de Europa más caro en banda ancha","Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
"Espanya, el segon pais d'Europa més car en banda ampla","Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
La patronal de las VTC amenaza la jornada inaugural del Mobile World Congress,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
La patronal de les VTC amenaça la jornada inaugural del Mobile World Congress,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
Els taxistes denuncien l'augment de l'intrusisme durant el Mobile World Congress,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
Los taxistas denuncian el aumento del intrusismo durante el Mobile World Congress,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
Murtra s'estrena al Mobile reclamant a la UE facilitar les fusions de 'telecos',"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
Murtra se estrena en el Mobile reclamando a la UE facilitar las fusiones de las 'telecos',"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…"
Barcelona pide a los Mossos que combatan el top manta,"Fraudes: Los fraudes económicos que no tienen filiación política y que son realizados por individuos o colectividades (facturas falsas, IVA...) con claras sanciones judiciales son recogidas en este apartado."
Barcelona demana als Mossos que combateixin el top manta,"Fraudes: Los fraudes económicos que no tienen filiación política y que son realizados por individuos o colectividades (facturas falsas, IVA...) con claras sanciones judiciales son recogidas en este apartado."
Elon Musk necesita de 20.000 a 30.000 millones de dólares para su internet por satélite,Noticias económicas genéricas del mundo
Elon Musk necessita de 20.000 a 30.000 milions de dòlars per al seu interet per satèl·lit,Noticias económicas genéricas del mundo
"Dos empresarios suecos, inquilinos de la casa Batlló",Noticias económicas genéricas del mundo
"Dos empresaris suecs, inquilins de la casa Batlló",Noticias económicas genéricas del mundo
Barcelona optará a ser sede de la Copa América de vela del 2024,Noticias económicas genéricas del mundo
Barcelona optarà a ser la seu de la Copa America de vela del 2024,Noticias económicas genéricas del mundo
Sexo y Cannabis: colocón antes del revolcón,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE"
Sexe i Cannavis: col·locada abans de la revolcada,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE"
"Jon Bon Jovi, 60 años cantando su vida","Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE"
"Jon Bon Jovi, 60 anys cantant la seva vida","Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE"
Porro World Congress,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE"
Barcelona organizará el primer congreso mundial de blockchain,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE"
Barcelona organitzarà el primer congrés mundial de blockchain,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE"
Protesta de la Guardia Urbana a las puertas del Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
Activistas de Femem claman contra el sexismo de Facebook,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
200 urbanos se manifiestan en Barcelona para pedir formación ante alertas terroristas,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
"La T-Mobilitat, una tomadura de pelo","Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
"El regreso de los rezos a la escuela, en el diario del viernes","Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
Protesta de la Guàrdia Urbana a les portes del Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
Activistes de Femen clamen contra el sexisme de Facebook,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
200 urbans es manifesten a Barcelona per demanar formació davant alertes terroristes,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
"La T-Mobilitat, una presa de pèl","Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
El futuro del fútbol: espinilleras conectadas para conocer el rendimiento de los jugadores,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
"Internet es libre... y bla, bla, bla","Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
"Telefónica ficha a Nadal, Rossi, Lorenzo y Valverde","Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
El acuerdo para el despliegue del 5G,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
EEUU rechaza las dos velocidades,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
La Generalitat apuesta por el uso del móvil como instrumento pedagógico en las aulas,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
EEUU defiende que la neutralidad de la red beneficia a todos,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
L'hospital podrà operar a distància gràcies al 5G,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
El futur del futbòl: gamberes connectades per a conèixer el rendiment dels jugadors,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
"Internet és lliure... i bla, bla, bla","Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
"Telefònica fitxa a Nadal, Rossi, Lorenzo i Valverde","Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
L'acord per al següent desplegament del 5G,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
Els EUA refusa les dues velocitats,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
La Generalitat aposta per l'ús del mòbil com a instrument pedagògic a les aules,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
Els EUA defensen que la neutralitat de la xarxa beneficia a tothom,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…"
El Mobile World Congress 2015 cierra con más de 93.000 visitantes,Asistentes a la Mobile (tantas personas asisten a la Mobile)
Jornada masiva en el Mobile,Asistentes a la Mobile (tantas personas asisten a la Mobile)
La décima edición de la feria de móviles bate todos los récords,Asistentes a la Mobile (tantas personas asisten a la Mobile)
El Mobile World Congress 2017 bat tots els rècords amb 108.000 visitants,Asistentes a la Mobile (tantas personas asisten a la Mobile)
Las nevadas dejan el YoMo con el 40% menos de asistentes,Asistentes a la Mobile (tantas personas asisten a la Mobile)
"Barcelonas Mobile World Congress is record smasher with over 93,000 visitors",Asistentes a la Mobile (tantas personas asisten a la Mobile)
Viquipèdia se suma al MWC al clam per connectar la resta del món,Asistentes a la Mobile (tantas personas asisten a la Mobile)
El MWC bat tots els rècords amb 93.000 visitants,Asistentes a la Mobile (tantas personas asisten a la Mobile)
El Mobile World Congress 2015 tanca amb més de 93.000 visitants,Asistentes a la Mobile (tantas personas asisten a la Mobile)
Jornada massiva a la Mobile,Asistentes a la Mobile (tantas personas asisten a la Mobile)
La desena edició de la fira de mòbils bat tots els récords,Asistentes a la Mobile (tantas personas asisten a la Mobile)
Les nevades deixen el YoMo amb el 40% menys d'assistents,Asistentes a la Mobile (tantas personas asisten a la Mobile)
El Mobile World Congress de Barcelona trenca records amb més de 93.000 assistents,Asistentes a la Mobile (tantas personas asisten a la Mobile)
Panasonic presenta un híbrido entre cámara de fotos y teléfono móvil,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Motorola lanza una nueva versión del Moto E con un procesador más potente y conexión 4G LTE,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
El grafeno exhibe sus potenciales para la industria móvil,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Nokia resurge con tres 'smartphones' y el relanzamiento de un clásico,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Sony reinventa su división móvil en el MWC con el Xperia X1,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
NH Hoteles presenta un sistema de conferencias con hologramas,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Movistar TV integra el asistente de voz Cortana de Microsoft,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Movistar TV sintegra amb Windows Phone i podràs cercar-hi les pel·lícules parlant,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
"Mòbils, tauletes i bicis elèctriques: les primeres novetats del MWC",Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Els 12 'smartphones' més interessants del Mobile World Congress 2015,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Motorola llença una nova versión del Moto E amb un processador més potent i connexió 4G LTE,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Panasonic presenta un híbrid entre càmara de fotos i telèfon mòbil,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
El grafè exhibeix els seus potencials per l'indústria mòbil,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Nokia ressorgeix amb tres smartphones i el rellançament d'un clàssic,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Snoy reinventa la seva divisió mòbil al MWC amb el Xperia X1,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
NH presenta un sistema de conferències amb hologrames,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
Movistar TV integra 'assistent de veu Cortana de Microsoft,Novedades presentadas (Open AI trae su última actualización de ChatGpt)
"El rei Felip VI, Quim Torra i Pedro Sánchez inauguren el Mobile World Congress",Premios y galardones
"El rey Felipe VI, Quim Torra y Pedro Sánchez inauguran el Mobile World Congress",Premios y galardones
El Rey ensalza BCM como referente del empuje emprendedor español,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
"El Rey alaba BCN como ""referente emprendedor""",Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
"Xiaomi, el gran ausente del MWC",Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Colau plantará a Felip VI en la rebuda oficial per l'MWC,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Alcatel abre la puerta del MWC presentando tres nuevas series de producto,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Colau rechaza rendir pleitesía al Rey,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Un alto cargo del Gobern no irá al Mobile en protesta por el Rey,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
"Mark Zuckerberg va sopar aquest dimarts amb la seva parella, Gerard Piqué i Shakira al restaurant Petit Comitè de Barcelona",Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Zuckerberg conecta con Shakira y Piqué,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
El rei exalça BCN com a referent de l'empenta emprenedora espanyola,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
"El rei lloa BCN com ""referent emprenedor""",Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Colau plantará a Felipe VI en la recepción oficial para la MWC,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Alcatel obre la porta del MWC presentant tres noves sèries de producte,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Colau rebutja retre homenatge al Rei,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Un alt càrrec del Gobern no anirà al Mobile en protesta pel Rei,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
"Mark Zuckerberg cenará este martes con su pareja, Gerard Piqué y Shakiera en el restaurante Petit Comitè de Barcelona",Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Zuckerberg connecta amb Shakira i Piqué,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones
Google trabaja en llevar internet a tood el mundo con globos y aviones,Charlas y otros eventos desarrollados en la propia Mobile
Bienvenidos al mundo Beta,Charlas y otros eventos desarrollados en la propia Mobile
Tendencias tecnologógicas y actividades en el Mobile World Congress (MWC2015),Charlas y otros eventos desarrollados en la propia Mobile
El 4YFN acaba consolidado como plataforma global de 'start-ups',Charlas y otros eventos desarrollados en la propia Mobile
El sector de las 'start-ups' despunta cuatro años después del 4YFN,Charlas y otros eventos desarrollados en la propia Mobile
"Volem connectar l'altra meitat del planeta, la conferència de Zuckerberg al MWC, en 8 frases",Charlas y otros eventos desarrollados en la propia Mobile
Google treballa per portar internet a tot el món amb globus i avions,Charlas y otros eventos desarrollados en la propia Mobile
Benvinguts al món Beta,Charlas y otros eventos desarrollados en la propia Mobile
Tendències tecnológiques i activitats en el Mobile World Congress (MWC2015),Charlas y otros eventos desarrollados en la propia Mobile
El 4YFN acaba consolidat com plataforma global d'start-ups,Charlas y otros eventos desarrollados en la propia Mobile
"Queremos conectar con la otra mitad del planeta, la conferencia de Zuckerberg en el MWC, en 8 frases",Charlas y otros eventos desarrollados en la propia Mobile
MWC: la cita de la tecnología móvil,Noticias Genéricas Mobile
Los móviles estrella de la Mobile,Noticias Genéricas Mobile
Qui controla que es mengi bé al Mobile World Congress?,Noticias Genéricas Mobile
Las claves de la feria del móvil,Noticias Genéricas Mobile
Tegnología en masculí,Noticias Genéricas Mobile
Renée Jiménez: La feria de móviles no es solo para hombres,Noticias Genéricas Mobile
Muchas universidades dan asignaturas que no tienen ninguna utilidad futura,Noticias Genéricas Mobile
Beatriz de York habla del empoderamiento femenino en su viaje a Barcelona,Noticias Genéricas Mobile
Cae hasta el 23% la participación de mujeres en el Mobile World Congress,Noticias Genéricas Mobile
Mobile Women Congress,Noticias Genéricas Mobile
Un Mobile más femenino y joven,Noticias Genéricas Mobile
Más dinero que ideas,Noticias Genéricas Mobile
Una visió del Mobile World Congress,Noticias Genéricas Mobile
Las mujeres piden más poder de decisión sobre la tecnología,Noticias Genéricas Mobile
Barcelona da la bienvenida al Mobile World Congress,Noticias Genéricas Mobile
Mujeres contra testosterona digital,Noticias Genéricas Mobile
MWC: la cita de la tecnologia mòbil,Noticias Genéricas Mobile
Els mòbils estrella de la Mobile,Noticias Genéricas Mobile
¿Quién controla que se coma bien en la Mobile World Congress?,Noticias Genéricas Mobile
Les claus de la fira del mòbil,Noticias Genéricas Mobile
Tecnología en masculino,Noticias Genéricas Mobile
Renée Jiménez: La fira de mòbils no és només per a homes,Noticias Genéricas Mobile
Moltes universitats donen asignatures que no tenen cap utilitat futura,Noticias Genéricas Mobile
Beatriu de York parla de l'empoderament femení al seu viatge a Barcelona,Noticias Genéricas Mobile
Cau fins el 23% la participació de les dones al Mobile World Congress,Noticias Genéricas Mobile
Més diners que idees,Noticias Genéricas Mobile
Les dones demanen més poder de decisió sobre la tecnologia,Noticias Genéricas Mobile
Barcelona dona la benvinguda al Mobile World Congress,Noticias Genéricas Mobile
