Texto,Categoria
Zuckerberg diu que el servei de veu de WhatsApp no ha d'espantar les operadores,Politica
"Mòbils, tauletes i bicis elèctriques: les primeres novetats del MWC",Ciencia
"Telefónica i Vodafone s'uneixen per frenar Apple, a la portada d''Expansión'",Politica
"Volem connectar l'altra meitat del planeta, la conferència de Zuckerberg al MWC, en 8 frases",Politica
Ikea vendrà llums i taules que permeten recarregar el mòbil sense cables,Politica
Màxima expectació i llargues cues per veure Mark Zuckerberg al MWC,Politica
Seat s'alia amb Samsung per implantar una connectivitat total en tots els seus models,Politica
Milers de persones omplen el Mobile World Congress des de primera hora d'aquest dilluns,Politica
Mas defensa a la CNBC americana que Espanya és perfectament capaç de sobreviure si Catalunya esdevé un estat,Politica
Google anuncia a Barcelona que crearà una operadora de telefonia,Deportes
Eyetok: la xarxa social catalana que pretén convertir-te en una webcam amb cames,Politica
"Microsoft anuncia els nous telèfons Lumia 640 i 640 XL, amb Office i Skype de franc",Politica
Google farà servir 'drones' impulsats amb energia solar per dur internet als llocs més recòndits,Politica
"'Mobile: el metro ple de corbates, acreditacions i accent: l'editorial d'Antoni Bassas",Politica
"El perill jihadista amenaça Catalunya, portada de l''Abc'",Politica
El congrés traspassa les fronteres de la fira i arriba a la ciutat,Politica
El rei diu que el MWC és fruit de l'estreta i lleial col·laboració entre la Generalitat i l'Estat,Politica
El Mobile World Congress i la marca Barcelona,Politica
"El Mobile World Congress i el 'boom' de l'internet de les coses, aquest diumenge a l'ARA",Politica
El Mobile porta internet més enllà del telèfon,Politica
Veure néixer el segon operador del món,economia
"Els informatius de BTV, només amb mòbils durant una setmana",Politica
Ada Colau: No pactarem amb partits del règim,Ciencia
"Tot a punt per al Mobile World Congress, un any més",Ciencia
Trias proposa un salari mínim per als treballadors de Barcelona,Vivienda
"El nombre de passatgers de l'aeroport del Prat creix un 3,6% al febrer",Vivienda
"Barcelonas Mobile World Congress is record smasher with over 93,000 visitors",Politica
"Mark Zuckerberg va sopar aquest dimarts amb la seva parella, Gerard Piqué i Shakira al restaurant Petit Comitè de Barcelona",Politica
"Si tot està connectat, em vigilen? Del control total a través del mòbil als telèfons a prova d'espies",Ciencia
"Marck Zuckerberg a Barcelona, protagonista de les portades de la premsa econòmica",Politica
"Conversar amb el mòbil, el gran repte pendent del sector",economia
"Els Pujol s'emboliquen al detallar el presumpte llegat, a la portada d''El Periódico'",Politica
"Mòbils, tauletes i bicis elèctriques: les primeres novetats del MWC",Ciencia
"Telefónica i Vodafone s'uneixen per frenar Apple, a la portada d''Expansión'",Politica
"Volem connectar l'altra meitat del planeta, la conferència de Zuckerberg al MWC, en 8 frases",Politica
"Microsoft anuncia els nous telèfons Lumia 640 i 640 XL, amb Office i Skype de franc",Politica
"'Mobile: el metro ple de corbates, acreditacions i accent: l'editorial d'Antoni Bassas",Politica
"El perill jihadista amenaça Catalunya, portada de l''Abc'",Politica
"El Mobile World Congress i el 'boom' de l'internet de les coses, aquest diumenge a l'ARA",Politica
"Els informatius de BTV, només amb mòbils durant una setmana",Politica
"Tot a punt per al Mobile World Congress, un any més",Ciencia
Los asistentes al Mobile realizan cerca de 215.000 viajes con la T-Mobilitat específica del congreso,Politica
Acaba el Mobile World Congress 2025,Politica
El Mobile World Congress iguala el seu rècord històric i tanca amb 109.000 assistents,Politica
El MWC iguala su récord histórico y cierra con 109.000 asistentes,Economia
Cinco 'startups' catalanas que demuestran que la IA es mucho más que el despertar de las máquinas,Politica
"El metaverso no ha muerto, ha mutado: el MWC expone las últimas novedades en gafas inmersivas",Politica
Comença el Mobile World Congress a Barcelona,Politica
Els cinc mòbils més sorprenents que s'han presentat al Mobile World Congress,Politica
Els mitjans de comunicació debuten a l'MWC per abordar la irrupció de la IA en el periodisme,Politica
Mòbils (gairebé) sense interacció humana,Politica
Mistral AI demana a la UE que acceleri i ampliï la seva IA,Politica
Vithas y Telefónica exponen en el Mobile World Congress su investigación sobre comunicación cuántica en sanidad,Politica
Los 5 móviles más sorprendentes del Mobile World Congress,Politica
El gemelo digital de Barcelona muestra en el MWC cómo puede mejorar la ciudad,Politica
El cofundador d'Apple Steve Wozniak reivindica la curiositat innovadora al Mobile World Congress,Politica
¿Quan és el MWC 2025 de Barcelona? Dates i horari del Mobile World Congress,Politica
L'enigmàtic soci de Laporta,Politica
La indústria xinesa deixa patent en el Mobile la seva creixent influència global,Politica
València presenta l'estratègia d'internacionalització en el Mobile World Congress,Politica
València presenta su estrategia de internacionalización en el Mobile World Congress,Politica
Montoya asiste al Mobile World Congress 2025,Politica
"Mistral AI, rival europeo de ChatGPT, pide acelerar el despliegue de la IA para competir con EEUU",Politica
"Mobile World Congress 2025, en directe: última hora del MWC i novetats",Politica
El Mobile World Congress 2025 llena restaurantes y discotecas en Barcelona,Politica
"Steve Wozniak, cofundador de Apple, revoluciona el MWC",Politica
