Texto,Categoria,Subcategoria,Sentimiento,Autor
La IA pot destruir 400.000 llocs de treball a Espanya la pròxima dècada,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
La IA puede destruir 400.000 puestos de trabajo en España en la próxima década,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
No serem ingenus: Cuerpo garanteix protecció a la indústria davant de possibles aranzels,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
No seremos ingenuos: Cuerpo garantiza la protección a la industria ante posibles aranceles,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",,
Cuerpo asegura que Europa reaccionará si hay aranceles: Protegeremos a la industria,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Neutro,
Cuerpo assegura que Europa reaccionarà si hi ha aranzels: Protegirem la indústria,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Neutro,
"España, el segundo país de Europa más caro en banda ancha",Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
"Espanya, el segon pais d'Europa més car en banda ampla",Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
La patronal de las VTC amenaza la jornada inaugural del Mobile World Congress,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
La patronal de les VTC amenaça la jornada inaugural del Mobile World Congress,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
Els taxistes denuncien l'augment de l'intrusisme durant el Mobile World Congress,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
Los taxistas denuncian el aumento del intrusismo durante el Mobile World Congress,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
Murtra s'estrena al Mobile reclamant a la UE facilitar les fusions de 'telecos',Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
Murtra se estrena en el Mobile reclamando a la UE facilitar las fusiones de las 'telecos',Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
Barcelona pide a los Mossos que combatan el top manta,Economía,"Fraudes: Los fraudes económicos que no tienen filiación política y que son realizados por individuos o colectividades (facturas falsas, IVA...) con claras sanciones judiciales son recogidas en este apartado.",Negativo,
Barcelona demana als Mossos que combateixin el top manta,Economía,"Fraudes: Los fraudes económicos que no tienen filiación política y que son realizados por individuos o colectividades (facturas falsas, IVA...) con claras sanciones judiciales son recogidas en este apartado.",Negativo,
Elon Musk necesita de 20.000 a 30.000 millones de dólares para su internet por satélite,Economía,Noticias económicas genéricas del mundo,Neutro,
Elon Musk necessita de 20.000 a 30.000 milions de dòlars per al seu interet per satèl·lit,Economía,Noticias económicas genéricas del mundo,Neutro,
"Dos empresarios suecos, inquilinos de la casa Batlló",Economía,Noticias económicas genéricas del mundo,Neutro,
"Dos empresaris suecs, inquilins de la casa Batlló",Economía,Noticias económicas genéricas del mundo,Neutro,
Barcelona optará a ser sede de la Copa América de vela del 2024,Economía,Noticias económicas genéricas del mundo,Positivo,
Barcelona optarà a ser la seu de la Copa America de vela del 2024,Economía,Noticias económicas genéricas del mundo,Positivo,
Sexo y Cannabis: colocón antes del revolcón,Sociedad,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE",Negativo,
Sexe i Cannavis: col·locada abans de la revolcada,Sociedad,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE",Negativo,
"Jon Bon Jovi, 60 años cantando su vida",Sociedad,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE",Neutro,
"Jon Bon Jovi, 60 anys cantant la seva vida",Sociedad,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE",Neutro,
Porro World Congress,Sociedad,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE",Negativo,
Barcelona organizará el primer congreso mundial de blockchain,Sociedad,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE",Neutro,
Barcelona organitzarà el primer congrés mundial de blockchain,Sociedad,"Acontecimientos sociales. Premios, galardones, espectáculos, variedades, cultura, deportes… que ocurren en la ciudad NO MOBILE",Neutro,
Protesta de la Guardia Urbana a las puertas del Mobile,Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Negativo,
Activistas de Femem claman contra el sexismo de Facebook,Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Negativo,
200 urbanos se manifiestan en Barcelona para pedir formación ante alertas terroristas,Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
"La T-Mobilitat, una tomadura de pelo",Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Negativo,
"El regreso de los rezos a la escuela, en el diario del viernes",Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
Protesta de la Guàrdia Urbana a les portes del Mobile,Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Negativo,
Activistes de Femen clamen contra el sexisme de Facebook,Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Negativo,
200 urbans es manifesten a Barcelona per demanar formació davant alertes terroristes,Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
"La T-Mobilitat, una presa de pèl",Sociedad,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Negativo,
El futuro del fútbol: espinilleras conectadas para conocer el rendimiento de los jugadores,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Positivo,
"Internet es libre... y bla, bla, bla",Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Negativo,
"Telefónica ficha a Nadal, Rossi, Lorenzo y Valverde",Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
El acuerdo para el despliegue del 5G,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
EEUU rechaza las dos velocidades,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
La Generalitat apuesta por el uso del móvil como instrumento pedagógico en las aulas,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Positivo,
EEUU defiende que la neutralidad de la red beneficia a todos,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Positivo,
L'hospital podrà operar a distància gràcies al 5G,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Positivo,
El futur del futbòl: gamberes connectades per a conèixer el rendiment dels jugadors,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Positivo,
"Internet és lliure... i bla, bla, bla",Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Negativo,
"Telefònica fitxa a Nadal, Rossi, Lorenzo i Valverde",Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
L'acord per al següent desplegament del 5G,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
Els EUA refusa les dues velocitats,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Neutro,
La Generalitat aposta per l'ús del mòbil com a instrument pedagògic a les aules,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Positivo,
Els EUA defensen que la neutralitat de la xarxa beneficia a tothom,Tecnología No Mobile,"Debate Sobre Problemas Sociales: Aborto, violencia, medio ambiente, comunicación…",Positivo,
El Mobile World Congress 2015 cierra con más de 93.000 visitantes,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Neutro,
Jornada masiva en el Mobile,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Positivo,
La décima edición de la feria de móviles bate todos los récords,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Positivo,
El Mobile World Congress 2017 bat tots els rècords amb 108.000 visitants,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Positivo,
Las nevadas dejan el YoMo con el 40% menos de asistentes,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Negativo,
"Barcelonas Mobile World Congress is record smasher with over 93,000 visitors",Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Positivo,
Viquipèdia se suma al MWC al clam per connectar la resta del món,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Neutro,
El MWC bat tots els rècords amb 93.000 visitants,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Positivo,
El Mobile World Congress 2015 tanca amb més de 93.000 visitants,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Neutro,
Jornada massiva a la Mobile,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Positivo,
La desena edició de la fira de mòbils bat tots els récords,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Positivo,
Les nevades deixen el YoMo amb el 40% menys d'assistents,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Negativo,
El Mobile World Congress de Barcelona trenca records amb més de 93.000 assistents,Mobile World Congress operativa,Asistentes a la Mobile (tantas personas asisten a la Mobile),Positivo,
Panasonic presenta un híbrido entre cámara de fotos y teléfono móvil,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
Motorola lanza una nueva versión del Moto E con un procesador más potente y conexión 4G LTE,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
El grafeno exhibe sus potenciales para la industria móvil,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Positivo,
Nokia resurge con tres 'smartphones' y el relanzamiento de un clásico,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Positivo,
Sony reinventa su división móvil en el MWC con el Xperia X1,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Positivo,
NH Hoteles presenta un sistema de conferencias con hologramas,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
Movistar TV integra el asistente de voz Cortana de Microsoft,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
Movistar TV sintegra amb Windows Phone i podràs cercar-hi les pel·lícules parlant,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
"Mòbils, tauletes i bicis elèctriques: les primeres novetats del MWC",Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
Els 12 'smartphones' més interessants del Mobile World Congress 2015,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
Motorola llença una nova versión del Moto E amb un processador més potent i connexió 4G LTE,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
Panasonic presenta un híbrid entre càmara de fotos i telèfon mòbil,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
El grafè exhibeix els seus potencials per l'indústria mòbil,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Positivo,
Nokia ressorgeix amb tres smartphones i el rellançament d'un clàssic,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Positivo,
Snoy reinventa la seva divisió mòbil al MWC amb el Xperia X1,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Positivo,
NH presenta un sistema de conferències amb hologrames,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
Movistar TV integra 'assistent de veu Cortana de Microsoft,Mobile World Congress operativa,Novedades presentadas (Open AI trae su última actualización de ChatGpt),Neutro,
"El rei Felip VI, Quim Torra i Pedro Sánchez inauguren el Mobile World Congress",Mobile World Congress operativa,Premios y galardones,Neutro,
"El rey Felipe VI, Quim Torra y Pedro Sánchez inauguran el Mobile World Congress",Mobile World Congress operativa,Premios y galardones,Neutro,
El Rey ensalza BCM como referente del empuje emprendedor español,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
"El Rey alaba BCN como ""referente emprendedor""",Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
"Xiaomi, el gran ausente del MWC",Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Negativo,
Colau plantará a Felip VI en la rebuda oficial per l'MWC,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Negativo,
Alcatel abre la puerta del MWC presentando tres nuevas series de producto,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
Colau rechaza rendir pleitesía al Rey,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
Un alto cargo del Gobern no irá al Mobile en protesta por el Rey,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Negativo,
"Mark Zuckerberg va sopar aquest dimarts amb la seva parella, Gerard Piqué i Shakira al restaurant Petit Comitè de Barcelona",Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Neutro,
Zuckerberg conecta con Shakira y Piqué,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
El rei exalça BCN com a referent de l'empenta emprenedora espanyola,Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
"El rei lloa BCN com ""referent emprenedor""",Mobile World Congress operativa,Asistentes famosos a la Mobile (el CEO de…. Asiste a la Mobile) e inauguraciones,Positivo,
