Texto,Label
Elon Musk necesita de 20.000 a 30.000 millones de dólares para su internet por satélite,Neutro
Elon Musk necessita de 20.000 a 30.000 milions de dòlars per al seu interet per satèl·lit,Neutro
"Dos empresarios suecos, inquilinos de la casa Batlló",Neutro
"Dos empresaris suecs, inquilins de la casa Batlló",Neutro
Barcelona optará a ser sede de la Copa América de vela del 2024,Positivo
Barcelona optarà a ser la seu de la Copa America de vela del 2024,Positivo
Sexo y Cannabis: colocón antes del revolcón,Negativo
Sexe i Cannavis: col·locada abans de la revolcada,Negativo
"Jon Bon Jovi, 60 años cantando su vida",Neutro
"Jon Bon Jovi, 60 anys cantant la seva vida",Neutro
Porro World Congress,Negativo
Barcelona organizará el primer congreso mundial de blockchain,Neutro
Barcelona organitzarà el primer congrés mundial de blockchain,Neutro
Protesta de la Guardia Urbana a las puertas del Mobile,Negativo
Activistas de Femem claman contra el sexismo de Facebook,Negativo
200 urbanos se manifiestan en Barcelona para pedir formación ante alertas terroristas,Neutro
"La T-Mobilitat, una tomadura de pelo",Negativo
"El regreso de los rezos a la escuela, en el diario del viernes",Neutro
Protesta de la Guàrdia Urbana a les portes del Mobile,Negativo
Activistes de Femen clamen contra el sexisme de Facebook,Negativo
200 urbans es manifesten a Barcelona per demanar formació davant alertes terroristes,Neutro
"La T-Mobilitat, una presa de pèl",Negativo
El futuro del fútbol: espinilleras conectadas para conocer el rendimiento de los jugadores,Positivo
"Internet es libre... y bla, bla, bla",Negativo
"Telefónica ficha a Nadal, Rossi, Lorenzo y Valverde",Neutro
El acuerdo para el despliegue del 5G,Neutro
EEUU rechaza las dos velocidades,Neutro
La Generalitat apuesta por el uso del móvil como instrumento pedagógico en las aulas,Positivo
EEUU defiende que la neutralidad de la red beneficia a todos,Positivo
L'hospital podrà operar a distància gràcies al 5G,Positivo
El futur del futbòl: gamberes connectades per a conèixer el rendiment dels jugadors,Positivo
"Internet és lliure... i bla, bla, bla",Negativo
"Telefònica fitxa a Nadal, Rossi, Lorenzo i Valverde",Neutro
L'acord per al següent desplegament del 5G,Neutro
Els EUA refusa les dues velocitats,Neutro
La Generalitat aposta per l'ús del mòbil com a instrument pedagògic a les aules,Positivo
Els EUA defensen que la neutralitat de la xarxa beneficia a tothom,Positivo
El Mobile World Congress 2015 cierra con más de 93.000 visitantes,Neutro
Jornada masiva en el Mobile,Positivo
La décima edición de la feria de móviles bate todos los récords,Positivo
El Mobile World Congress 2017 bat tots els rècords amb 108.000 visitants,Positivo
Las nevadas dejan el YoMo con el 40% menos de asistentes,Negativo
"Barcelonas Mobile World Congress is record smasher with over 93,000 visitors",Positivo
Viquipèdia se suma al MWC al clam per connectar la resta del món,Neutro
El MWC bat tots els rècords amb 93.000 visitants,Positivo
El Mobile World Congress 2015 tanca amb més de 93.000 visitants,Neutro
Jornada massiva a la Mobile,Positivo
La desena edició de la fira de mòbils bat tots els récords,Positivo
Les nevades deixen el YoMo amb el 40% menys d'assistents,Negativo
El Mobile World Congress de Barcelona trenca records amb més de 93.000 assistents,Positivo
Panasonic presenta un híbrido entre cámara de fotos y teléfono móvil,Neutro
Motorola lanza una nueva versión del Moto E con un procesador más potente y conexión 4G LTE,Neutro
El grafeno exhibe sus potenciales para la industria móvil,Positivo
Nokia resurge con tres 'smartphones' y el relanzamiento de un clásico,Positivo
Sony reinventa su división móvil en el MWC con el Xperia X1,Positivo
NH Hoteles presenta un sistema de conferencias con hologramas,Neutro
Movistar TV integra el asistente de voz Cortana de Microsoft,Neutro
Movistar TV sintegra amb Windows Phone i podràs cercar-hi les pel·lícules parlant,Neutro
"Mòbils, tauletes i bicis elèctriques: les primeres novetats del MWC",Neutro
Els 12 'smartphones' més interessants del Mobile World Congress 2015,Neutro
Motorola llença una nova versión del Moto E amb un processador més potent i connexió 4G LTE,Neutro
Panasonic presenta un híbrid entre càmara de fotos i telèfon mòbil,Neutro
El grafè exhibeix els seus potencials per l'indústria mòbil,Positivo
Nokia ressorgeix amb tres smartphones i el rellançament d'un clàssic,Positivo
Snoy reinventa la seva divisió mòbil al MWC amb el Xperia X1,Positivo
NH presenta un sistema de conferències amb hologrames,Neutro
Movistar TV integra 'assistent de veu Cortana de Microsoft,Neutro
"El rei Felip VI, Quim Torra i Pedro Sánchez inauguren el Mobile World Congress",Neutro
"El rey Felipe VI, Quim Torra y Pedro Sánchez inauguran el Mobile World Congress",Neutro
El Rey ensalza BCM como referente del empuje emprendedor español,Positivo
"El Rey alaba BCN como ""referente emprendedor""",Positivo
"Xiaomi, el gran ausente del MWC",Negativo
Colau plantará a Felip VI en la rebuda oficial per l'MWC,Negativo
Alcatel abre la puerta del MWC presentando tres nuevas series de producto,Positivo
Colau rechaza rendir pleitesía al Rey,Positivo
Un alto cargo del Gobern no irá al Mobile en protesta por el Rey,Negativo
"Mark Zuckerberg va sopar aquest dimarts amb la seva parella, Gerard Piqué i Shakira al restaurant Petit Comitè de Barcelona",Neutro
Zuckerberg conecta con Shakira y Piqué,Positivo
El rei exalça BCN com a referent de l'empenta emprenedora espanyola,Positivo
"El rei lloa BCN com ""referent emprenedor""",Positivo
Colau plantará a Felipe VI en la recepción oficial para la MWC,Negativo
Alcatel obre la porta del MWC presentant tres noves sèries de producte,Positivo
Colau rebutja retre homenatge al Rei,Positivo
Un alt càrrec del Gobern no anirà al Mobile en protesta pel Rei,Negativo
"Mark Zuckerberg cenará este martes con su pareja, Gerard Piqué y Shakiera en el restaurante Petit Comitè de Barcelona",Neutro
Zuckerberg connecta amb Shakira i Piqué,Positivo
Google trabaja en llevar internet a tood el mundo con globos y aviones,Positivo
Bienvenidos al mundo Beta,Positivo
Tendencias tecnologógicas y actividades en el Mobile World Congress (MWC2015),Neutro
El 4YFN acaba consolidado como plataforma global de 'start-ups',Positivo
El sector de las 'start-ups' despunta cuatro años después del 4YFN,Positivo
"Volem connectar l'altra meitat del planeta, la conferència de Zuckerberg al MWC, en 8 frases",Neutro
Google treballa per portar internet a tot el món amb globus i avions,Positivo
Benvinguts al món Beta,Positivo
Tendències tecnológiques i activitats en el Mobile World Congress (MWC2015),Neutro
El 4YFN acaba consolidat com plataforma global d'start-ups,Positivo
"Queremos conectar con la otra mitad del planeta, la conferencia de Zuckerberg en el MWC, en 8 frases",Neutro
MWC: la cita de la tecnología móvil,Positivo
Los móviles estrella de la Mobile,Positivo
Qui controla que es mengi bé al Mobile World Congress?,Neutro
Las claves de la feria del móvil,Neutro
Tegnología en masculí,Neutro
Renée Jiménez: La feria de móviles no es solo para hombres,Positivo
Muchas universidades dan asignaturas que no tienen ninguna utilidad futura,Negativo
Beatriz de York habla del empoderamiento femenino en su viaje a Barcelona,Positivo
Cae hasta el 23% la participación de mujeres en el Mobile World Congress,Negativo
Mobile Women Congress,Neutro
Un Mobile más femenino y joven,Positivo
Más dinero que ideas,Neutro
Una visió del Mobile World Congress,Neutro
Las mujeres piden más poder de decisión sobre la tecnología,Positivo
Barcelona da la bienvenida al Mobile World Congress,Positivo
Mujeres contra testosterona digital,Positivo
MWC: la cita de la tecnologia mòbil,Positivo
Els mòbils estrella de la Mobile,Positivo
¿Quién controla que se coma bien en la Mobile World Congress?,Neutro
Les claus de la fira del mòbil,Neutro
Tecnología en masculino,Neutro
Renée Jiménez: La fira de mòbils no és només per a homes,Positivo
Moltes universitats donen asignatures que no tenen cap utilitat futura,Negativo
Beatriu de York parla de l'empoderament femení al seu viatge a Barcelona,Positivo
Cau fins el 23% la participació de les dones al Mobile World Congress,Negativo
Més diners que idees,Neutro
Les dones demanen més poder de decisió sobre la tecnologia,Positivo
Barcelona dona la benvinguda al Mobile World Congress,Positivo
Dones contra testosterona digital,Positivo
Un Mobile més femení i jove,Positivo
Crece el 80% el número de turistas en Barcelona alojados con Airbnb durante la feria de móviles,Neutro
La feria de móviles deja 450 millones en la economía de Barcelona,Positivo
Barcelona vuelve a palpitar con el Mobile,Positivo
La avaricia y el saco,Negativo
Las últimas plazas de hotel alcanzan los 4.400 euros por noche,Neutro
El Mobile World Congress deixa l'Sporting sense hotel a Barcelona,Negativo
El transporte público se preparar para recibir a más de 100.000 congresistas del MWC,Neutro
El MWC tanca amb 88.500 visitants i preveu 350 milions d'euros d'impacte econòmic,Neutro
La potència econòmica de l'MWC,Positivo
Empleo para grandes eventos,Neutro
Creix el 80% de turistes a Barcelona allotjats amb AirBnB durant la fira de mòbils,Neutro
La fira de mòbils deixa 450 millons a la economia de Barcelona,Positivo
Barcelona torna a bategar amb el Mobile,Positivo
L'avaricia i la bossa,Negativo
Les últmes places d'hotel arriben als 4.400 euros la nit,Neutro
El Mobile World Congress deja al Sporting sin hotel en Barcelona,Negativo
El transport públic es prepara per rebre a més de 100.000 congressistes del MWC,Neutro
El MWC cierra con 88.500 visitantes y prevé 350 millones de euros de impacto económico,Neutro
La potencia económica del MWC,Positivo
Ocupació per a grans esdeveniments,Neutro
Multas a los coches oficiales durante el Mobile World Congress,Neutro
Menys activitat delictiva durant el Mobile d'aquest any,Positivo
"Descienden un 67% los robos con violencia en esta edición del MWC, según Mossos",Positivo
L'Hospitalet también es la capital del MWC,Positivo
La Urbana maltrata a los chóferes del Mobile World Congress,Negativo
Balanç policial del MWC: 14 arrestats i 94 delictes,Negativo
Els Mossos han detingut 27 persones i han registrat 59 delictes durant el Mobile World Congress,Negativo
La policia investiga si un vianant està implicat en el xoc entre els dos busos de la Diagonal,Negativo
BCN y las empresas tecnológicas se unen contra la brecha digital,Positivo
Multes als cotxes oficials durant el Mobile World Congress,Neutro
Menos actividad deliciva durante el Mobile de este año,Positivo
"Baixa un 67% dels robatoris amb violència en aquesta edició del MWC, segons els Mossos",Positivo
L'Hospitalet també és la capital del MWC,Positivo
L'Urbana maltracta als xofers del Mobile World Congress,Negativo
Balance policial del MWC: 14 arrestados y 94 delitos,Negativo
Los Mossos han detenido 27 personas y han registrado 59 delitos durante el Mobile World Congress,Negativo
La policia investiga si un viandante está implicado en el choque entre los dos bueses de la Diagonal,Negativo
BCN y les empreses tecnològiques s'uneixen contra l'escletxa digital,Positivo
Marca españa venderá BCN en el mundo al margen del ayuntamiento,Neutro
"BCN, fábrica de Apps",Positivo
Colapso viario en el segundo día del MWC,Negativo
La movilidad funciona en tren y en metro pero pincha en coche,Negativo
"Jimmy Wales: La respuesta a Uber no debe ser 'prohibir', sino 'competencia'",Neutro
"Barcelona, capital mundial de la literatura infantil i juvenil",Positivo
Más de 6.000 universitarios de EEUU traen su fiesta a BCN,Negativo
Marca espanya vendrà BCN al món al marge de l'ajuntament,Neutro
"BCN, fàbrica d'apps",Positivo
Colpase viari en el segon dia del MWC,Negativo
"La mobilitat funciona en tren i en metro, però punxa en el cotxe",Negativo
"Jimmy Wales: La resposta a Uber no ha de ser ""prohibir"", sinó ""competència""",Neutro
"Barcelona, capital mundial de la literatura infantil y juvenil",Positivo
Més de 6.000 universitaris dels EUA porten la seva festa a BCN,Negativo
"Sense ficció' retrata a los jueces, y nuevos hallazgos en 'Bajo sospecha'",Neutro
Luis Tosar vuelve a protagonizar la campaña de Damm,Neutro
"Sense ficció' retrata als jutges i noves troballes a ""sota sospita""",Neutro
Luís Tosar torna a portagonitzar la campanya de Damm,Neutro
